tweet_id,favorite_count,retweet_count
892420643555336193,38235,8376
892177421306343426,32781,6184
891815181378084864,24685,4092
891689557279858688,41565,8517
891327558926688256,39744,9222
891087950875897856,19949,3070
890971913173991426,11675,2035
890729181411237888,64531,18594
890609185150312448,27422,4207
890240255349198849,31468,7277
890006608113172480,30244,7224
889880896479866881,27401,4901
889665388333682689,47458,9910
889638837579907072,26793,4479
889531135344209921,14896,2209
889278841981685760,24907,5301
888917238123831296,28682,4431
888804989199671297,25213,4235
888554962724278272,19566,3499
888078434458587136,21459,3446
887705289381826560,29751,5311
887517139158093824,45648,11498
887473957103951883,68145,17921
887343217045368832,33216,10253
887101392804085760,30149,5880
886983233522544640,34688,7664
886736880519319552,11882,3234
886680336477933568,22133,4399
886366144734445568,20895,3153
886267009285017600,116,4
886258384151887873,27602,6191
886054160059072513,0,105
885984800019947520,32219,6700
885528943205470208,35492,6334
885518971528720385,20154,3708
885311592912609280,0,18311
885167619883638784,21628,4322
884925521741709313,76436,18051
884876753390489601,27541,5585
884562892145688576,23974,4684
884441805382717440,26629,5575
884247878851493888,72060,20178
884162670584377345,20087,2946
883838122936631299,21610,3401
883482846933004288,45309,9816
883360690899218434,22270,3628
883117836046086144,36694,6583
882992080364220416,23648,3867
882762694511734784,27939,4853
882627270321602560,27540,6003
882268110199369728,44371,11445
882045870035918850,28973,4906
881906580714921986,23992,3350
881666595344535552,49913,10527
881633300179243008,124,7
881536004380872706,48800,15740
881268444196462592,22781,5104
880935762899988482,16792,2748
880872448815771648,20996,3768
880465832366813184,28163,6200
880221127280381952,26719,4166
880095782870896641,27289,4305
879862464715927552,22034,3454
879674319642796034,308,10
879492040517615616,23120,3145
879415818425184262,104520,43676
879376492567855104,16563,3085
879130579576475649,0,6747
879050749262655488,22283,4667
879008229531029506,18745,2664
878776093423087618,19166,4081
878604707211726852,29893,7119
878404777348136964,0,1274
878316110768087041,0,6582
878281511006478336,7653,1274
878057613040115712,41514,6747
877736472329191424,78820,18879
877611172832227328,0,80
877556246731214848,22439,3770
877316821321428993,27037,5121
877201837425926144,26791,5525
876838120628539392,20431,3312
876537666061221889,23217,4579
876484053909872640,18539,2377
876120275196170240,27586,4652
875747767867523072,24892,4258
875144289856114688,21670,4883
875097192612077568,27098,5994
875021211251597312,25170,4680
874680097055178752,27518,4608
874434818259525634,0,14634
874296783580663808,25766,4082
874057562936811520,22404,3931
874012996292530176,34222,10349
873580283840344065,23964,3923
873337748698140672,0,1580
873213775632977920,7160,1580
872967104147763200,27108,5382
872820683541237760,14572,3680
872620804844003328,20594,3684
872486979161796608,40311,8972
872261713294495745,33904,6298
872122724285648897,34168,8100
871879754684805121,37672,11156
871762521631449091,20111,3470
871515927908634625,20067,3447
871166179821445120,0,5698
871102520638267392,20788,5500
871032628920680449,22514,3815
870804317367881728,33409,6208
870726314365509632,119,3
870656317836468226,12342,2650
870374049280663552,82267,26243
870308999962521604,21731,4161
870063196459192321,36496,8374
869772420881756160,42249,10062
869702957897576449,28140,6365
869596645499047938,15929,3141
869227993411051520,20370,3802
868880397819494401,65506,14573
868639477480148993,0,2109
868622495443632128,26830,5470
868552278524837888,10127,2109
867900495410671616,24175,4208
867774946302451713,34001,7399
867421006826221569,16120,2531
867072653475098625,0,122
867051520902168576,32264,7942
866720684873056260,20113,4864
866686824827068416,19367,3528
866450705531457537,122540,35676
866334964761202691,52749,14634
866094527597207552,0,8480
865718153858494464,25705,5684
865359393868664832,26585,5066
865006731092295680,28134,7791
864873206498414592,32446,8838
864279568663928832,14705,3087
864197398364647424,30326,9084
863907417377173506,20750,4212
863553081350529029,15396,4244
863471782782697472,0,2499
863432100342583297,23987,5354
863427515083354112,2279,99
863079547188785154,8829,1119
863062471531167744,8588,2499
862831371563274240,19322,5176
862722525377298433,17197,3593
862457590147678208,20713,5052
862096992088072192,75237,23766
861383897657036800,36410,10917
861288531465048066,17355,4242
861005113778896900,16885,3888
860981674716409858,0,2206
860924035999428608,0,842
860563773140209665,7583,2206
860524505164394496,23874,5397
860276583193509888,18507,3557
860184849394610176,16875,5970
860177593139703809,0,31617
859924526012018688,19785,4196
859851578198683649,15584,3598
859607811541651456,18825,1613
859196978902773760,91148,31016
859074603037188101,34341,13965
858860390427611136,0,8371
858843525470990336,15749,3569
858471635011153920,21797,4985
858107933456039936,15951,3003
857989990357356544,16356,2661
857746408056729600,34826,10968
857393404942143489,6004,1690
857263160327368704,20342,4660
857214891891077121,232,18
857062103051644929,0,177
